rx_Mbps-2g,rx_Mbps_avg3-2g,FreeTime_2.4GHz,Load_2.4GHz,rx_Mbps_avg5-2g,rx_Mbps_avg7-2g,rx_Mbps_lag1-2g,RxTime_2.4GHz,tx_Mbps_avg7-2g,rx_Mbps_lag2-2g,tx_Mbps_avg5-2g,rx_Mbps_lag3-2g,tx_pps-2g,tx_Mbps_avg3-2g,rx_pps-2g,tx_Mbps_lag1-2g,tx_Mbps_lag2-2g,tx_Mbps_lag3-2g,tx_Mbps-2g,LastDataUplinkRate,UplinkMCS,LastDataDownlinkRate,rx_Mbps,SignalStrength_avg10,VendorStats.Glitch_2.4GHz,rx_pps,ObssTime_2.4GHz,TxTime_2.4GHz,SignalStrength_avg7,SignalStrength_avg5,UplinkShortGuard
7.6,3.982,23.0,77.0,5.14,8.189,0.419,16.0,13.883,3.926,17.406,8.413,2276.8,26.735,759.4,35.7,10.456,6.327,34.05,78000.0,8.0,96100.0,7.426,-56.6,1100.0,651.0,5.0,42.0,-57.0,-57.0,1.0
0.005,2.282,79.0,21.0,2.129,1.534,6.82,0.0,1.815,0.021,0.498,3.783,5.2,0.032,4.4,0.071,0.017,0.693,0.007,1000.0,0.0,243700.0,0.008,-44.3,339.0,7.8,12.0,7.0,-44.71,-44.6,0.0
0.206,9.692,62.0,38.0,12.644,12.294,10.485,2.0,9.772,18.385,10.702,14.998,1010.4,15.525,49.4,14.727,17.46,6.765,14.389,286700.0,11.0,286700.0,0.045,-38.0,566.0,49.4,7.0,22.0,-38.0,-38.0,1.0
28.387,25.913,59.0,41.0,22.763,21.001,29.948,27.0,8.524,19.404,7.256,27.267,263.4,4.872,1955.0,2.127,12.138,8.741,0.351,96100.0,9.0,96100.0,6.324,-34.4,752.0,525.2,4.0,6.0,-35.57,-34.4,400.0
17.345,15.755,47.0,53.0,15.361,15.197,21.572,13.0,5.308,8.348,5.513,9.765,456.8,4.081,646.2,0.386,7.725,11.96,4.133,96100.0,9.0,96100.0,2.984,-55.9,1058.0,336.4,7.0,26.0,-56.29,-56.2,1.0
16.893,10.589,65.0,35.0,7.444,8.22,11.238,23.0,57.336,3.637,44.52,0.931,86.2,7.466,820.8,8.19,14.095,104.216,0.112,72200.0,7.0,72200.0,6.191,-63.5,1026.0,501.6,3.0,7.0,-63.14,-62.8,400.0
8.186,5.896,51.0,49.0,16.494,15.257,7.287,16.0,5.166,2.214,4.044,24.05,487.0,5.626,113.6,6.361,0.106,1.092,10.411,216600.0,9.0,229400.0,0.094,-29.1,1128.0,105.2,10.0,13.0,-29.0,-29.0,1.0
0.241,0.288,67.0,33.0,0.292,0.936,0.233,2.0,26.971,0.39,33.971,0.391,1517.6,34.961,109.6,26.146,52.394,50.88,26.343,286700.0,11.0,258000.0,1.339,-32.9,670.0,199.0,4.0,23.0,-32.86,-33.0,1.0
20.613,15.616,58.0,42.0,10.73,10.153,19.702,20.0,13.926,6.532,16.561,0.383,891.5,16.12,1812.0,11.148,21.923,25.318,15.289,72200.0,7.0,72200.0,0.025,-46.7,275.0,23.0,4.0,13.0,-46.57,-46.8,1.0
34.779,31.297,25.0,75.0,19.422,14.498,38.142,54.0,16.638,20.97,13.175,2.846,268.2,3.821,1337.0,0.291,9.442,22.93,1.729,72200.0,7.0,72200.0,20.231,-42.4,550.0,1634.8,4.0,10.0,-42.43,-42.8,1.0
