FreeTime_2.4GHz,IntTime_2.4GHz,RxTime_2.4GHz,TxTime_2.4GHz,VendorStats.Glitch_2.4GHz,tx_Mbps-2g,rx_Mbps-2g,tx_err_ps-2g,tx_ber-2g,rx_pps-2g,tx_pps-2g,tx_Mbps_lag1-2g,rx_Mbps_lag1-2g,tx_Mbps_lag2-2g,rx_Mbps_lag2-2g,Noise_lag2-2g,tx_Mbps_lag3-2g,rx_Mbps_lag3-2g,Noise_lag3-2g,tx_Mbps_avg3-2g,rx_Mbps_avg3-2g,Noise_avg3-2g,tx_Mbps_avg5-2g,rx_Mbps_avg5-2g,Noise_avg5-2g,tx_Mbps_avg7-2g,rx_Mbps_avg7-2g,Noise_avg7-2g,DownlinkMCS,DownlinkShortGuard,Inactive,Noise,SignalNoiseRatio,LastDataDownlinkRate,LastDataUplinkRate,UplinkMCS,UplinkShortGuard,tx_Mbps,rx_Mbps,rx_pps,tx_err_ps,SignalStrength_avg7,SignalStrength_avg10
23.0,16.0,16.0,42.0,1100.0,34.05,7.6,3.2,9.397944199706315e-08,759.4,2276.8,35.7,0.419,10.456,3.926,-91.0,6.327,8.413,-92.0,26.735,3.982,-91.67,17.406,5.14,-91.8,13.883,8.189,-91.29,9.0,1.0,1.0,-92.0,36.0,96100.0,78000.0,8.0,1.0,2.317,7.426,651.0,0.0,-57.0,-56.6
79.0,15.0,0.0,7.0,339.0,0.007,0.005,0.0,0.0,4.4,5.2,0.071,6.82,0.017,0.021,-91.0,0.693,3.783,-91.0,0.032,2.282,-91.0,0.498,2.129,-91.0,1.815,1.534,-91.0,10.0,1.0,0.0,-91.0,46.0,243700.0,1000.0,0.0,0.0,0.009,0.008,7.8,0.0,-44.71,-44.3
62.0,15.0,2.0,22.0,566.0,14.389,0.206,0.0,0.0,49.4,1010.4,14.727,10.485,17.46,18.385,-92.0,6.765,14.998,-92.0,15.525,9.692,-92.33,10.702,12.644,-92.0,9.772,12.294,-91.71,11.0,1.0,0.0,-93.0,55.0,286700.0,286700.0,11.0,1.0,5.007,0.045,49.4,0.0,-38.0,-38.0
59.0,9.0,27.0,6.0,752.0,0.351,28.387,0.0,0.0,1955.0,263.4,2.127,29.948,12.138,19.404,-93.0,8.741,27.267,-93.0,4.872,25.913,-93.0,7.256,22.763,-92.8,8.524,21.001,-92.57,9.0,400.0,0.0,-93.0,60.0,96100.0,96100.0,9.0,400.0,0.122,6.324,525.2,0.0,-35.57,-34.4
47.0,14.0,13.0,26.0,1058.0,4.133,17.345,0.0,0.0,646.2,456.8,0.386,21.572,7.725,8.348,-88.0,11.96,9.765,-87.0,4.081,15.755,-88.0,5.513,15.361,-88.0,5.308,15.197,-87.71,9.0,1.0,0.0,-88.0,31.0,96100.0,96100.0,9.0,1.0,5.575,2.984,336.4,0.0,-56.29,-55.9
65.0,7.0,23.0,7.0,1026.0,0.112,16.893,0.0,0.0,820.8,86.2,8.19,11.238,14.095,3.637,-90.0,104.216,0.931,-91.0,7.466,10.589,-90.0,44.52,7.444,-90.6,57.336,8.22,-91.29,7.0,400.0,1.0,-90.0,27.0,72200.0,72200.0,7.0,400.0,0.054,6.191,501.6,0.0,-63.14,-63.5
51.0,21.0,16.0,13.0,1128.0,10.411,8.186,1.4,1.3447315339544711e-07,113.6,487.0,6.361,7.287,0.106,2.214,-85.0,1.092,24.05,-85.0,5.626,5.896,-84.67,4.044,16.494,-84.4,5.166,15.257,-84.57,9.0,1.0,0.0,-84.0,55.0,229400.0,216600.0,9.0,1.0,10.374,0.094,105.2,1.4,-29.0,-29.1
67.0,8.0,2.0,23.0,670.0,26.343,0.241,0.0,0.0,109.6,1517.6,26.146,0.233,52.394,0.39,-90.0,50.88,0.391,-90.0,34.961,0.288,-91.0,33.971,0.292,-90.8,26.971,0.936,-90.86,10.0,1.0,0.0,-92.0,59.0,258000.0,286700.0,11.0,1.0,15.89,1.339,199.0,0.0,-32.86,-32.9
58.0,10.0,20.0,13.0,275.0,15.289,20.613,0.0,0.0,1812.0,891.5,11.148,19.702,21.923,6.532,-95.0,25.318,0.383,-94.0,16.12,15.616,-95.67,16.561,10.73,-95.2,13.926,10.153,-95.14,7.0,1.0,0.0,-96.0,49.0,72200.0,72200.0,7.0,1.0,0.993,0.025,23.0,0.0,-46.57,-46.7
25.0,10.0,54.0,10.0,550.0,1.729,34.779,0.0,0.0,1337.0,268.2,0.291,38.142,9.442,20.97,-87.0,22.93,2.846,-87.0,3.821,31.297,-86.0,13.175,19.422,-86.4,16.638,14.498,-85.71,7.0,1.0,1.0,-85.0,41.0,72200.0,72200.0,7.0,1.0,0.037,20.231,1634.8,0.0,-42.43,-42.4
27.0,9.0,3.0,61.0,380.0,19.005,5.357,0.0,0.0,596.8,1521.8,11.525,0.202,3.906,8.556,-95.0,1.77,15.484,-95.0,11.479,4.705,-95.0,7.304,9.029,-95.0,6.223,10.416,-95.29,11.0,1.0,0.0,-95.0,51.0,286700.0,1000.0,0.0,0.0,1.942,5.078,439.8,0.0,-44.14,-46.4
4.0,9.0,4.0,83.0,305.0,69.752,2.299,0.0,0.0,2452.4,5574.0,55.047,5.433,2.359,72.535,-92.0,2.146,65.645,-92.0,42.386,26.756,-92.33,32.217,30.141,-92.2,35.279,24.644,-92.14,11.0,1.0,0.0,-93.0,60.0,286700.0,286700.0,11.0,1.0,1.461,0.023,24.2,0.0,-33.14,-33.1
74.0,11.0,1.0,13.0,1348.0,8.806,8.049,0.0,0.0,591.4,748.6,39.042,0.434,25.581,2.527,-92.0,8.242,2.377,-92.0,24.476,3.67,-92.33,17.856,4.612,-92.0,16.853,6.485,-92.29,9.0,400.0,0.0,-92.0,37.0,96100.0,96100.0,9.0,400.0,7.962,0.15,152.8,0.0,-55.14,-55.9
48.0,15.0,30.0,7.0,1045.0,0.526,40.181,0.0,0.0,2713.0,436.6,0.188,50.492,0.776,49.209,-93.0,8.882,0.685,-93.0,0.497,46.627,-93.33,4.014,28.145,-93.4,10.546,20.519,-93.43,7.0,400.0,0.0,-93.0,41.0,72200.0,72200.0,7.0,400.0,0.18,5.709,467.2,0.0,-49.43,-49.5
57.0,11.0,24.0,8.0,724.0,3.48,27.99,0.0,0.0,1125.0,637.2,16.45,11.792,14.686,21.325,-94.0,0.346,17.888,-94.0,11.539,20.369,-94.0,7.331,20.157,-94.2,11.835,24.169,-93.71,9.0,400.0,0.0,-95.0,38.0,96100.0,65000.0,6.0,400.0,0.357,13.882,1131.0,0.0,-57.14,-57.1
17.0,19.0,2.0,62.0,1250.0,21.894,0.261,0.0,0.0,13.8,1755.2,14.858,3.929,0.085,19.069,-83.0,2.276,20.668,-83.0,12.279,7.753,-83.33,9.678,10.529,-83.0,12.101,8.714,-83.0,6.0,1.0,0.0,-83.0,36.0,65000.0,72200.0,7.0,1.0,21.62,0.257,295.2,0.0,-47.0,-47.2
58.0,9.0,11.0,21.0,332.0,23.953,5.374,0.0,0.0,424.4,1777.4,28.021,1.885,20.85,5.362,-95.0,27.275,5.342,-95.0,24.275,4.207,-95.0,21.71,7.259,-95.0,19.755,7.778,-95.29,9.0,1.0,0.0,-95.0,45.0,96100.0,24000.0,0.0,0.0,0.106,2.461,211.8,0.0,-54.57,-55.6
33.0,15.0,11.0,41.0,1021.0,12.242,23.913,0.0,0.0,2071.8,1130.6,5.767,26.439,1.417,36.691,-89.0,0.33,47.521,-90.0,6.475,29.014,-90.0,4.423,32.168,-90.2,4.937,28.36,-89.86,11.0,1.0,1.0,-89.0,50.0,286700.0,1000.0,0.0,0.0,0.071,14.363,1040.6,0.0,-38.43,-38.0
42.0,13.0,16.0,27.0,741.0,14.437,30.71,0.0,0.0,2610.6,1214.2,12.169,29.692,5.069,21.155,-91.0,4.396,25.537,-90.0,10.558,27.186,-91.0,7.258,29.428,-90.6,6.091,26.69,-90.57,9.0,1.0,0.0,-92.0,36.0,96100.0,96100.0,9.0,1.0,2.906,0.056,58.8,0.0,-56.57,-56.6
47.0,11.0,24.0,18.0,502.0,13.048,11.821,0.0,0.0,1034.8,1075.4,25.043,12.263,19.641,9.479,-96.0,15.776,11.725,-96.0,19.244,11.188,-95.33,16.87,12.435,-95.6,13.105,15.144,-95.71,7.0,1.0,0.0,-95.0,56.0,65000.0,72200.0,7.0,1.0,4.793,0.085,93.667,0.0,-39.0,-39.0
39.0,16.0,41.0,5.0,872.0,9.876,54.398,0.0,0.0,4622.2,488.4,80.066,0.35,61.084,10.168,-84.0,0.072,71.732,-83.0,50.342,21.639,-84.0,30.989,39.074,-83.6,28.311,27.95,-83.86,11.0,1.0,0.0,-84.0,35.0,286700.0,206500.0,8.0,1.0,4.68,58.769,4192.4,0.0,-48.86,-48.9
54.0,14.0,2.0,31.0,783.0,26.146,0.233,0.0,0.0,104.0,1499.2,52.394,0.39,50.88,0.391,-90.0,14.091,0.203,-91.0,43.14,0.338,-90.33,31.804,0.291,-90.6,23.713,1.735,-90.71,10.0,1.0,0.0,-92.0,59.0,258000.0,286700.0,11.0,1.0,17.633,0.092,102.2,0.0,-32.86,-32.9
81.0,10.0,5.0,4.0,1357.0,9.883,3.59,0.0,0.0,342.6,441.4,15.111,0.078,4.579,0.041,-91.0,1.495,0.018,-90.0,9.858,1.236,-90.67,7.887,0.756,-90.4,8.443,0.558,-91.14,10.0,1600.0,0.0,-91.0,62.0,243700.0,286700.0,11.0,800.0,11.471,3.607,353.2,0.0,-29.29,-29.2
28.0,6.0,34.0,32.0,130.0,12.766,57.171,0.0,0.0,4713.0,1462.4,5.647,31.037,6.145,33.444,-94.0,19.987,9.151,-93.0,8.186,40.551,-95.0,14.008,28.197,-94.4,11.778,25.284,-94.86,7.0,1.0,0.0,-95.0,58.0,72200.0,72200.0,7.0,1.0,11.661,0.161,182.8,0.0,-37.86,-38.0
25.0,10.0,49.0,17.0,434.0,4.98,27.965,1.2,2.4096385542168674e-07,50.0,365.2,25.401,3.896,24.783,9.65,-87.0,1.304,62.959,-87.0,18.388,13.837,-87.0,11.725,27.825,-87.2,14.706,19.964,-87.29,7.0,1.0,0.0,-87.0,43.0,72200.0,72200.0,7.0,1.0,0.119,31.022,2511.2,0.0,-44.0,-44.4
41.0,24.0,29.0,6.0,1266.0,0.524,15.517,0.0,0.0,20.4,110.0,4.451,15.167,11.259,8.366,-86.0,16.507,8.654,-86.0,5.411,13.017,-84.67,12.896,10.872,-85.0,11.474,14.383,-85.0,10.0,1.0,0.0,-84.0,55.0,243700.0,286700.0,11.0,1.0,0.437,0.02,15.0,0.0,-29.14,-29.2
44.0,15.0,38.0,6.0,621.0,0.617,26.412,0.0,0.0,445.4,227.4,0.273,35.074,36.681,4.378,-88.0,42.897,3.833,-85.0,12.524,21.955,-87.33,16.9,16.28,-86.4,15.316,14.198,-85.57,8.0,1.0,0.0,-88.0,50.0,78000.0,24000.0,0.0,0.0,0.062,4.199,348.0,0.0,-40.43,-40.8
60.0,12.0,2.0,25.0,602.0,13.595,22.477,0.0,0.0,1977.4,925.0,9.761,37.396,32.058,15.954,-96.0,53.236,1.094,-96.0,18.471,25.276,-95.0,27.701,15.482,-95.6,27.177,11.665,-95.86,9.0,1.0,0.0,-94.0,50.0,96100.0,6000.0,0.0,0.0,2.752,0.082,79.4,0.0,-51.86,-50.0
